id,title,path,date,location,active
5,Laiv - SAD Ft. Trika,	https://www.youtube.com/embed/iI0lNXu-H8A,Lille,1
1,Trika - Time Out (ft Yarl Hunter) (Krokodrill#5),https://www.youtube.com/embed/tJLpWys8300,2022-06-10,Lille/Dunkerque,1
3,Jidma - THD feat Swift Guad ( Prod : Klamc),	https://www.youtube.com/embed/v8Y0wMOWOfA,2023-03-06,Nanterre,1
4,La Vie Amer - ABYSS,https://www.youtube.com/embed/LqHfvpPVEio,2023-03-11,Lille,1
